id,neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,estimated_diameter_km_max,estimated_diameter_km_min,close_approach_date_full,velocity_kps,miss_distance_km,orbiting_body,date,is_sentry_object
54549109,54549109,(2025 SY21),26.927,False,0.0244703386,0.0109434681,2025-Oct-01 20:07,20.5382519481,1707958.13380065,Earth,2025-10-01,False
54549128,54549128,(2025 SJ27),24.769,False,0.0661058629,0.0295634406,2025-Oct-01 05:10,7.4874209102,11101971.564634455,Earth,2025-10-01,False
54548206,54548206,(2025 SQ12),25.26,False,0.0527278398,0.0235806068,2025-Oct-01 08:16,12.8515520845,6546238.951612776,Earth,2025-10-01,False
54550509,54550509,(2025 TP),29.21,False,0.0085514543,0.0038243266,2025-Oct-01 21:17,14.7102960698,107633.498295885,Earth,2025-10-01,False
54550511,54550511,(2025 TQ),28.908,False,0.0098274304,0.0043949605,2025-Oct-01 03:33,10.0770567163,310829.487636716,Earth,2025-10-01,True
54550518,54550518,(2025 TW),24.678,False,0.0689350316,0.0308286833,2025-Oct-01 22:49,12.4718626147,10499711.169560729,Earth,2025-10-01,False
54549684,54549684,(2025 TB),26.558,False,0.0290028034,0.012970448,2025-Oct-01 15:24,11.8540669258,1363936.514039175,Earth,2025-10-01,False
54549695,54549695,(2025 TF),31.702,False,0.0027141883,0.0012138219,2025-Oct-01 00:49,20.8761143007,6780.463618602,Earth,2025-10-01,False
3559911,3559911,(2011 ET74),26.2,False,0.0342010925,0.0152951935,2025-Oct-07 00:54,18.0792095644,65301756.58916678,Earth,2025-10-07,False
3611402,3611402,(2012 TR231),23.9,False,0.0986370281,0.04411182,2025-Oct-07 04:49,18.3828706129,47911936.97430581,Earth,2025-10-07,False
3781897,3781897,(2017 SL16),25.92,False,0.038908096,0.0174002295,2025-Oct-07 21:09,5.0013428598,21187666.679586414,Earth,2025-10-07,False
3819574,3819574,(2018 HG2),24.26,False,0.0835679943,0.0373727432,2025-Oct-07 11:38,23.0053158378,64466387.18313893,Earth,2025-10-07,False
3831210,3831210,(2018 TX1),24.4,False,0.0783501764,0.0350392641,2025-Oct-07 17:42,10.9076871089,17436797.69933899,Earth,2025-10-07,False
54016489,54016489,(2020 GA2),21.14,True,0.3515928047,0.1572370824,2025-Oct-07 22:58,30.0366565688,44561001.638214916,Earth,2025-10-07,False
54165800,54165800,(2021 NM),26.23,False,0.0337318359,0.0150853356,2025-Oct-07 08:09,23.8269863934,42583700.34848808,Earth,2025-10-07,False
54202333,54202333,(2021 TE1),24.44,False,0.0769201245,0.0343997255,2025-Oct-07 22:33,24.9629732006,57739027.651871875,Earth,2025-10-07,False
54205444,54205444,(2021 TD7),26.66,False,0.0276719637,0.0123752784,2025-Oct-07 22:56,16.2004007293,19264377.970099244,Earth,2025-10-07,False
54312823,54312823,(2022 TD),27.73,False,0.0169059655,0.0075605776,2025-Oct-07 00:47,7.4075552816,15054344.8216696,Earth,2025-10-07,False
54490869,54490869,(2024 TP14),21.25,False,0.3342258056,0.1494703242,2025-Oct-07 07:26,34.7587465136,69712527.71425487,Earth,2025-10-07,False
54545158,54545158,(2025 RG3),24.159,False,0.08754674,0.0391520924,2025-Oct-07 07:30,9.3830673833,15062308.155646292,Earth,2025-10-07,False
54546916,54546916,(2025 RX10),25.158,False,0.0552637026,0.0247146791,2025-Oct-07 11:36,6.5150369964,15781356.301716091,Earth,2025-10-07,False
54546614,54546614,(2025 SE3),23.341,False,0.1275968576,0.0570630494,2025-Oct-07 05:17,10.469308424,22957242.395825412,Earth,2025-10-07,False
54548503,54548503,(2025 SM15),27.344,False,0.0201948196,0.0090313979,2025-Oct-07 03:20,10.2821791416,3074354.829691336,Earth,2025-10-07,False
54550522,54550522,(2025 TA1),24.772,False,0.0660145974,0.0295226254,2025-Oct-07 03:05,13.0196210121,15947501.20707658,Earth,2025-10-07,False
54550578,54550578,(2025 TS1),24.347,False,0.0802860292,0.0359050038,2025-Oct-07 14:28,8.6246648725,11124243.51600261,Earth,2025-10-07,False
54550580,54550580,(2025 TT1),24.289,False,0.0824593636,0.0368769485,2025-Oct-07 10:39,14.758429756,10084891.385435598,Earth,2025-10-07,False
2477719,2477719,477719 (2010 SG15),25.26,False,0.0527278398,0.0235806068,2025-Oct-06 21:14,5.1613522899,14627344.868727792,Earth,2025-10-06,False
3255174,3255174,(2004 SW26),25.66,False,0.0438571068,0.0196134944,2025-Oct-06 03:02,21.2348817181,58913122.35955108,Earth,2025-10-06,False
3648864,3648864,(2013 TT5),26.3,False,0.0326617897,0.0146067964,2025-Oct-06 19:39,8.081453263,26175195.62253827,Earth,2025-10-06,False
3781891,3781891,(2017 ST16),24.2,False,0.0859092601,0.0384197891,2025-Oct-06 21:24,9.8205556757,39292473.36697945,Earth,2025-10-06,False
3785751,3785751,(2017 TS3),22.17,False,0.2187963027,0.0978486812,2025-Oct-06 12:19,16.8683475324,37278274.196450934,Earth,2025-10-06,False
3838904,3838904,(2019 ED1),27.63,False,0.0177027191,0.0079168967,2025-Oct-06 23:31,13.8527945685,57668727.169702135,Earth,2025-10-06,True
54131736,54131736,(2021 ED5),20.16,True,0.5521282628,0.2469192656,2025-Oct-06 06:08,22.1815447544,10897604.687724922,Earth,2025-10-06,False
54211501,54211501,(2021 UO),20.43,False,0.4875733714,0.2180494405,2025-Oct-06 02:13,21.3098970711,25103009.856182165,Earth,2025-10-06,False
54215637,54215637,(2021 UV9),23.91,False,0.0981838322,0.0439091446,2025-Oct-06 09:39,6.2439477868,38999447.656489514,Earth,2025-10-06,False
54240297,54240297,(2022 BB3),22.93,False,0.154184238,0.0689532874,2025-Oct-06 04:50,16.3663298781,42025803.81511412,Earth,2025-10-06,False
54318589,54318589,(2022 UN5),25.13,False,0.0559809132,0.0250354255,2025-Oct-06 10:02,21.6495987978,63484736.40213026,Earth,2025-10-06,False
54416724,54416724,(2023 XX12),24.76,False,0.0663804174,0.0296862251,2025-Oct-06 19:32,7.4945176444,46153734.451093346,Earth,2025-10-06,False
54486545,54486545,(2024 TK),23.09,False,0.1432319745,0.0640552863,2025-Oct-06 09:55,22.301180174,37118375.61551422,Earth,2025-10-06,False
54488497,54488497,(2024 TL5),27.59,False,0.0180318372,0.0080640828,2025-Oct-06 23:49,5.3974063811,9234102.717509829,Earth,2025-10-06,False
54496027,54496027,(2024 UJ5),25.64,False,0.0442629117,0.0197949759,2025-Oct-06 06:32,11.3649819643,27012890.13850081,Earth,2025-10-06,False
54547366,54547366,(2025 SU6),24.37,False,0.079440136,0.0355267088,2025-Oct-06 12:01,9.072328971,14399495.50944585,Earth,2025-10-06,False
